Id,Tipo_ID,Ocupacion,Nacimiento,Edad,RangoEtario,Estado,IngresosFinancieros,Activos,Pasivos,Patrimonio,NivelRiesgo,Segmento,RiesgoOcupacion,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas,Cluster
6,CE,Ama de Casa,1933-01-02,90,Mayor de 50,Activo,30000000,532130000,2200000.0,529930000.0,Medio,Personal,4,0.0,0.0,0.0,0,25236070.36,1,0.0,0.0,1
13,CE,Ama de Casa,1930-04-20,93,Mayor de 50,Activo,755887000,886035000,201145000.0,684890000.0,Bajo,Personal,4,92677000.0,0.0,0.0,0,13750000.0,2,0.0,0.0,1
30,CE,Ama de Casa,1935-11-12,87,Mayor de 50,Activo,18933000,431167000,0.0,431167000.0,Medio,Personal,4,0.0,0.0,0.0,0,690280.33,1,0.0,0.0,4
31,CE,Ama de Casa,1932-06-04,91,Mayor de 50,Activo,8400000,152000000,0.0,152000000.0,Medio,Personal,4,0.0,0.0,0.0,0,2007750.0,1,0.0,0.0,4
1888,CC,Ama de Casa,1927-12-08,95,Mayor de 50,Activo,21099000,508712000,45094000.0,463618000.0,Medio,Personal,4,0.0,12164600.0,26833333.3333333,0,9877199.93333333,3,0.0,0.0,3
1895,CC,Ama de Casa,1929-04-12,94,Mayor de 50,Activo,108000000,3700829000,4320000.0,3696509000.0,Medio,Personal,4,0.0,0.0,9782273.5,0,20000000.0,1,0.0,0.0,2
1906,CC,Ama de Casa,1938-02-22,85,Mayor de 50,Activo,167528000,4982422000,174044000.0,4808378000.0,Medio,Personal,4,0.0,0.0,784236281.5,0,19744600.0,1,0.0,0.0,2
1907,CC,Ama de Casa,1929-12-04,93,Mayor de 50,Activo,48000000,300000000,0.0,300000000.0,Medio,Personal,4,0.0,0.0,44675000.0,0,8999903.88916667,2,0.0,0.0,1
1915,CC,Ama de Casa,1938-02-13,85,Mayor de 50,Activo,7200000,383323000,0.0,383323000.0,Medio,Personal,4,0.0,0.0,8250000.0,1,0.0,0,0.0,0.0,2
1926,CC,Ama de Casa,1937-11-17,85,Mayor de 50,Activo,1532000,338200000,1367000.0,336833000.0,Medio,Personal,4,0.0,0.0,0.0,0,37701507.24,1,0.0,37701500.0,1
1935,CC,Ama de Casa,1933-05-27,90,Mayor de 50,Inactivo,12776000,291086000,0.0,291086000.0,Medio,Personal,4,0.0,36201750.0,0.0,0,2287612.5,1,0.0,0.0,0
1964,CC,Ama de Casa,1935-12-26,87,Mayor de 50,Activo,18349000,584836000,0.0,584836000.0,Medio,Personal,4,296936800.0,26516920.0,53500000.0,0,86981693.09,1,0.0,0.0,3
1966,CC,Ama de Casa,1962-08-01,60,Mayor de 50,Activo,142401000,828472000,9572000.0,818900000.0,Bajo,Personal,4,0.0,0.0,0.0,0,1308326.69666667,1,0.0,0.0,1
1977,CC,Ama de Casa,1941-02-13,82,Mayor de 50,Activo,32665000,498875000,53000000.0,445875000.0,Medio,Personal,4,94321000.0,55562350.0,0.0,0,10625012.55625,1,0.0,0.0,0
1978,CC,Ama de Casa,1941-09-02,81,Mayor de 50,Prospecto,21206000,546747000,0.0,546747000.0,Alto,Personal,4,0.0,15465304.8,0.0,0,4932629.93,1,0.0,0.0,0
1992,CC,Ama de Casa,1942-05-11,81,Mayor de 50,Activo,108028000,2898955000,0.0,2898955000.0,Medio,Personal,4,1234370490.0,780000000.0,0.0,0,14370934.8425,1,0.0,0.0,0
1994,CC,Ama de Casa,1942-10-20,80,Mayor de 50,Activo,867164000,5727035000,137659000.0,5589376000.0,Medio,Personal,4,0.0,1085301490.0,0.0,0,575000000.0,1,0.0,0.0,0
2009,CC,Ama de Casa,1943-02-05,80,Mayor de 50,Activo,244107000,5090791000,2850252000.0,2240539000.0,Medio,Personal,4,0.0,11600.46,500000000.0,0,32925524.5835,2,499933500.0,0.0,3
2010,CC,Ama de Casa,1942-08-09,80,Mayor de 50,Activo,486060000,4190641000,0.0,4190641000.0,Bajo,Personal,4,0.0,0.0,0.0,0,17054286.503,2,79960000.0,59867500.0,1
2016,CC,Ama de Casa,1944-06-04,79,Mayor de 50,Prospecto,20713824,20000000,0.0,20000000.0,Medio,Personal,4,0.0,0.0,0.0,0,3000000.0,1,0.0,0.0,4
2039,CC,Ama de Casa,1943-11-28,79,Mayor de 50,Activo,1484000,255450000,0.0,255450000.0,Medio,Personal,4,0.0,0.0,0.0,0,758614.18,1,0.0,0.0,4
2064,CC,Ama de Casa,1952-02-13,71,Mayor de 50,Inactivo,35185000,363293000,0.0,363293000.0,Medio,Personal,4,0.0,0.0,0.0,0,35846183.1666667,1,96056500.0,0.0,4
2078,CC,Ama de Casa,1954-04-06,69,Mayor de 50,Activo,5468000,348330000,0.0,150532000.0,Medio,Personal,4,458197000.0,0.0,100000000.0,0,28669030.3333333,3,0.0,0.0,2
2081,CC,Ama de Casa,1957-10-17,65,Mayor de 50,Activo,20597000,616904000,2609000.0,614295000.0,Medio,Personal,4,0.0,0.0,0.0,0,9000000.0,1,0.0,0.0,1
2129,CC,Ama de Casa,1937-10-03,85,Mayor de 50,Activo,24000000,520000000,0.0,520000000.0,Medio,Personal,4,123386000.0,25754800.0,0.0,0,29407585.87,2,0.0,0.0,0
2131,CC,Ama de Casa,1938-05-04,85,Mayor de 50,En Espera,31200000,30000000,0.0,30000000.0,Medio,Personal,4,0.0,10710000.0,0.0,0,15145143.215,2,0.0,0.0,0
2180,CC,Ama de Casa,1939-10-06,83,Mayor de 50,En Espera,41533000,122655000,0.0,122655000.0,Medio,Personal,4,0.0,29292750.0,0.0,0,19507944.04,3,0.0,0.0,0
2186,CC,Ama de Casa,1941-05-01,82,Mayor de 50,Activo,280849000,999927000,111000.0,999816000.0,Bajo,Personal,4,0.0,316765850.0,0.0,0,14693188.2646667,2,0.0,0.0,0
2190,CC,Ama de Casa,1931-12-17,91,Mayor de 50,Activo,30667000,1224016000,25000000.0,1199016000.0,Medio,Personal,4,0.0,130699360.0,0.0,0,3003634.0,1,0.0,0.0,0
2195,CC,Ama de Casa,1930-05-27,93,Mayor de 50,Activo,53541000,1105628000,1798000.0,1103830000.0,Medio,Personal,4,45991190.0,0.0,0.0,0,23960901.58,1,0.0,0.0,1
2227,CC,Ama de Casa,1940-04-03,83,Mayor de 50,Activo,19074000,1133032000,0.0,1133032000.0,Medio,Personal,4,195970000.0,0.0,16832.58,0,155396962.64,1,0.0,0.0,1
2228,CC,Ama de Casa,1943-11-23,79,Mayor de 50,Activo,1300000,50000000,0.0,20000000.0,Medio,Personal,4,0.0,0.0,4600000.0,0,1166666.66666667,1,0.0,0.0,1
2232,CC,Ama de Casa,1944-04-23,79,Mayor de 50,Activo,107865000,2657304000,15653000.0,2641651000.0,Medio,Personal,4,0.0,0.0,0.0,0,332857061.375,2,0.0,0.0,1
2252,CC,Ama de Casa,1941-10-03,81,Mayor de 50,Activo,12000000,295158000,0.0,295158000.0,Medio,Personal,4,0.0,0.0,0.0,0,5166666.66666667,1,0.0,0.0,4
2256,CC,Ama de Casa,1954-09-15,68,Mayor de 50,Activo,33430000,617580000,55036000.0,562544000.0,Medio,Personal,4,0.0,0.0,0.0,0,3000000.0,1,0.0,0.0,1
2264,CC,Ama de Casa,1953-10-15,69,Mayor de 50,En Espera,6000000,30000000,0.0,30000000.0,Medio,Personal,4,0.0,45232800.0,0.0,0,2858290.5,1,0.0,0.0,0
2279,CC,Ama de Casa,1948-05-29,75,Mayor de 50,Activo,0,25000000,0.0,25000000.0,Medio,Personal,4,0.0,0.0,0.0,0,64166997.785,2,0.0,0.0,4
2293,CC,Ama de Casa,1927-11-28,95,Mayor de 50,En Espera,21600000,237958800,0.0,237958800.0,Medio,Personal,4,45126526.379396,0.0,0.0,0,500000.0,1,0.0,0.0,4
2299,CC,Ama de Casa,1931-02-03,92,Mayor de 50,Activo,10200000,9000000,0.0,9000000.0,Medio,Personal,4,0.0,3809350.0,0.0,0,6192000.0,1,0.0,0.0,0
2300,CC,Ama de Casa,1946-05-17,77,Mayor de 50,Activo,2000000,50000000,0.0,50000000.0,Medio,Personal,4,0.0,0.0,0.0,0,8250000.0,1,0.0,0.0,4
2304,CC,Ama de Casa,1957-10-06,65,Mayor de 50,Activo,800000,45000000,0.0,45000000.0,Medio,Personal,4,0.0,0.0,0.0,0,10000000.0,1,0.0,0.0,4
2320,CC,Ama de Casa,1957-01-02,66,Mayor de 50,Activo,3000000,254000000,0.0,254000000.0,Medio,Personal,4,0.0,241371070.0,0.0,0,4736698.5952381,1,0.0,0.0,0
2332,CC,Ama de Casa,1932-11-19,90,Mayor de 50,Activo,158189000,1095918000,756614000.0,339304000.0,Medio,Personal,4,191593600.0,0.0,0.0,0,14801921.71,1,0.0,0.0,1
2348,CC,Ama de Casa,1945-08-23,77,Mayor de 50,Activo,45181000,398500000,2693000.0,395807000.0,Medio,Personal,4,0.0,0.0,3349357.14285714,0,9869750.0,1,0.0,0.0,2
2352,CC,Ama de Casa,1943-10-23,79,Mayor de 50,Activo,900000,190174000,42467000.0,136549000.0,Medio,Personal,4,129920426.379396,0.0,0.0,0,1286425.694,2,0.0,0.0,1
2374,CC,Ama de Casa,1951-01-20,72,Mayor de 50,Activo,5455000,409959000,160477000.0,249482000.0,Medio,Personal,4,0.0,0.0,0.0,0,6062393.43375,2,0.0,0.0,1
2390,CC,Ama de Casa,1955-12-19,67,Mayor de 50,Activo,268212996,5548762000,1638595000.0,3910167000.0,Bajo,Personal,4,0.0,237858050.0,0.0,0,1605991.54904762,1,0.0,0.0,0
2393,CC,Ama de Casa,1954-08-10,68,Mayor de 50,Activo,456172000,11418054000,59531000.0,11358523000.0,Medio,Personal,4,0.0,0.0,0.0,0,19000000.0,1,0.0,0.0,1
2394,CC,Ama de Casa,1957-02-17,66,Mayor de 50,Activo,3731000,375037000,3421000.0,371616000.0,Medio,Personal,4,642176582.72,106287528.0,150000000.0,2,41409073.07,1,0.0,0.0,3
2423,CC,Ama de Casa,1980-01-09,43,31-50,Activo,82174000,1488261000,95182000.0,1393079000.0,Medio,Personal,4,425858500.0,9884800.0,134062328.5,0,100000000.0,1,0.0,0.0,3
2438,CC,Ama de Casa,1942-03-23,81,Mayor de 50,Activo,0,0,0.0,0.0,Medio,Personal,4,0.0,0.0,60000000.0,0,0.0,0,0.0,0.0,2
2439,CC,Ama de Casa,1933-12-24,89,Mayor de 50,Activo,729588000,807913000,0.0,807913000.0,Bajo,Personal,4,0.0,0.0,0.0,0,70392972.8333333,1,0.0,0.0,4
2444,CC,Ama de Casa,1941-10-25,81,Mayor de 50,Activo,15957000,472544000,70000000.0,402544000.0,Medio,Personal,4,0.0,16848000.0,0.0,0,36553500.0,2,0.0,0.0,0
2462,CC,Ama de Casa,1945-08-15,77,Mayor de 50,Inactivo,6000000,25905200,0.0,25905200.0,Medio,Personal,4,0.0,23876000.0,0.0,0,2525058.36,1,0.0,0.0,0
2463,CC,Ama de Casa,1928-12-27,94,Mayor de 50,En Espera,100296000,199313000,0.0,199313000.0,Medio,Personal,4,0.0,51396636.0,0.0,0,50165357.99,2,0.0,0.0,0
2468,CC,Ama de Casa,1943-02-09,80,Mayor de 50,Activo,3530000,917308000,42028000.0,875280000.0,Medio,Personal,4,0.0,0.0,0.0,0,10000000.0,1,0.0,0.0,1
2480,CC,Ama de Casa,1953-07-15,70,Mayor de 50,Activo,104936000,3983740000,378391000.0,3605349000.0,Bajo,Personal,4,4034988000.0,0.0,0.0,0,148264767.595882,1,0.0,0.0,1
2482,CC,Ama de Casa,1952-10-16,70,Mayor de 50,Activo,189421000,525193000,0.0,525193000.0,Medio,Personal,4,76171760.0,111319500.0,0.0,0,23365768.15,1,0.0,0.0,0
2495,CC,Ama de Casa,1935-12-21,87,Mayor de 50,Activo,8500000,1158693000,206000000.0,1158693000.0,Alto,Personal,4,0.0,0.0,77750000.0,1,14402222.2222222,2,34363980.0,0.0,2
2517,CC,Ama de Casa,1961-12-26,61,Mayor de 50,Activo,117937000,1232745000,285446000.0,947299000.0,Medio,Personal,4,0.0,31664953.0,1718000.0,0,10873616.04,1,0.0,0.0,3
2521,CC,Ama de Casa,1946-03-11,77,Mayor de 50,Inactivo,56891000,1312309000,0.0,1312309000.0,Medio,Personal,4,127632460.0,0.0,94000000.0,0,51138496.35,1,0.0,0.0,2
2526,CC,Ama de Casa,1938-12-02,84,Mayor de 50,En Espera,14400000,40000000,0.0,40000000.0,Medio,Personal,4,0.0,0.0,0.0,0,9963552.5,2,0.0,0.0,4
2528,CC,Ama de Casa,1944-07-15,79,Mayor de 50,Activo,37284000,382000000,100019000.0,281981000.0,Medio,Personal,4,0.0,0.0,0.0,0,22314760.92,2,0.0,0.0,1
2529,CC,Ama de Casa,1982-05-01,41,31-50,Activo,2102199000,1878319000,191336000.0,1686983000.0,Bajo,Personal,4,0.0,44199540.0,20000000.0,1,1680518.52,1,0.0,0.0,3
2532,CC,Ama de Casa,1958-07-11,65,Mayor de 50,En Espera,80323000,611472000,14788000.0,596684000.0,Medio,Personal,4,0.0,43710000.0,0.0,0,10485585.67,1,0.0,0.0,0
2535,CC,Ama de Casa,1938-03-13,85,Mayor de 50,Activo,258605000,4046795000,510376000.0,3536419000.0,Medio,Personal,4,0.0,0.0,54615384.6153846,0,1330000000.0,1,49812280.0,0.0,2
2537,CC,Ama de Casa,1946-02-18,77,Mayor de 50,Activo,125369000,1030935000,0.0,1030935000.0,Medio,Personal,4,0.0,353260.0,0.0,0,3323714.43833333,1,0.0,0.0,0
2542,CC,Ama de Casa,1928-02-03,95,Mayor de 50,Activo,68778000,49595000,9630000.0,39965000.0,Bajo,Personal,4,0.0,0.0,0.0,0,6132172.59153846,2,0.0,0.0,1
2555,CC,Ama de Casa,1934-02-06,89,Mayor de 50,En Espera,194323000,497277000,0.0,497277000.0,Bajo,Personal,4,0.0,0.0,0.0,0,17827364.04,1,0.0,0.0,4
2569,CC,Ama de Casa,1929-04-11,94,Mayor de 50,Activo,27271000,415872000,0.0,415872000.0,Medio,Personal,4,0.0,0.0,0.0,0,357635708.62,3,0.0,0.0,4
2580,CC,Ama de Casa,1959-11-17,63,Mayor de 50,En Espera,24000000,80000000,0.0,80000000.0,Medio,Personal,4,0.0,8491950.0,0.0,0,745742.36,1,0.0,0.0,0
2602,CC,Ama de Casa,1935-01-22,88,Mayor de 50,Activo,172689000,1328702000,916000.0,1327786000.0,Bajo,Personal,4,0.0,51394835.0,0.0,0,7952604.4,2,0.0,0.0,0
2614,CC,Ama de Casa,1940-01-27,83,Mayor de 50,Activo,126470000,598258000,144000.0,598114000.0,Medio,Personal,4,0.0,362258310.0,91680027.1333333,0,14200000.0,2,0.0,0.0,3
2631,CC,Ama de Casa,1940-08-05,82,Mayor de 50,Activo,2590000,738033000,197000.0,737836000.0,Medio,Personal,4,0.0,0.0,152000000.0,0,42811104.8,1,0.0,0.0,2
