Id,TipoID,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas
2,CC,0.0,0.0,0.0,0,377709184.37,1,0.0,0.0
3,CC,0.0,0.0,0.0,0,7881243.73952381,1,0.0,12308274.9
4,CC,497685880.0,0.0,0.0,0,20443213.0021429,2,291294480.0,0.0
5,CC,0.0,46273850.0,0.0,0,52083.0,1,0.0,0.0
8,CC,0.0,896284600.0,0.0,0,33180583.6,1,0.0,0.0
9,CC,0.0,0.0,0.0,0,8708947.63636364,1,0.0,0.0
11,CC,0.0,0.0,0.0,0,100810197.98,2,0.0,0.0
14,CC,0.0,114124000.0,0.0,0,1580377.38,1,0.0,0.0
16,CC,0.0,82250000.0,0.0,0,20000000.0,1,0.0,0.0
18,CC,0.0,0.0,0.0,0,5252500.0,1,0.0,0.0
20,CC,0.0,118555940.0,0.0,0,2005181.25,1,0.0,0.0
23,CC,0.0,29644000.0,0.0,0,1746418.875,2,0.0,0.0
27,CC,100890000.0,0.0,140000000.0,0,101067672.27,1,0.0,0.0
33,CC,781431960.0,780001179.12,0.0,0,11048583.288,1,0.0,0.0
34,CC,0.0,0.0,0.0,0,3500000.0,1,0.0,0.0
35,CC,0.0,0.0,0.0,0,150000000.0,2,0.0,0.0
36,CC,0.0,377361760.0,0.0,0,42000000.0,2,0.0,0.0
37,CC,0.0,27481600.0,13333333.3333333,1,0.0,0,0.0,0.0
38,CC,55482050.0,0.0,0.0,0,666767831.653333,2,0.0,0.0
39,CC,0.0,0.0,0.0,0,227579531.28,5,0.0,0.0
43,CC,0.0,210335000.0,0.0,0,63979333.3333333,1,0.0,0.0
45,CC,0.0,0.0,49451789.48,0,18064333.3333333,1,0.0,0.0
49,CC,0.0,46386392.0,0.0,0,5189187.58333333,1,0.0,0.0
50,CC,0.0,0.0,0.0,0,12466325.0,2,0.0,13675425.0
51,CC,0.0,0.0,0.0,0,20000000.0,2,0.0,0.0
54,CC,0.0,0.0,0.0,0,273195351.67,2,0.0,0.0
